Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
3396,Bryant Quijada,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.254,0.071,0.223,0.172,0.244,0.243,0.487,0.223,40,999.0
3397,Dérmis Garcia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.344,0.157,0.266,0.195,0.265,0.352,0.617,0.271,73,999.0
3398,Austin Nola,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.218,0.102,0.271,0.22,0.287,0.322,0.609,0.272,59,999.0
3399,Monte Harrison,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.395,0.12,0.31,0.194,0.264,0.314,0.578,0.258,64,999.0
3400,Nick Tanielu,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.262,0.123,0.263,0.207,0.275,0.33,0.605,0.268,71,999.0
3401,Luis Liberato,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.29600000000000004,0.125,0.287,0.212,0.28,0.337,0.616,0.273,74,999.0
3402,Stephen Vogt,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.267,0.123,0.253,0.2,0.269,0.323,0.592,0.263,68,999.0
3403,Alec Sayre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.317,0.076,0.238,0.169,0.241,0.245,0.486,0.222,39,999.0
3404,Erick Mejia,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.235,0.122,0.258,0.21,0.279,0.332,0.611,0.271,72,999.0
3405,Jorel Ortega,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.26899999999999996,0.114,0.277,0.21,0.279,0.325,0.603,0.268,73,999.0
3406,Elio Prado,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.254,0.093,0.24,0.189,0.259,0.282,0.541,0.244,53,999.0
3407,Wendell Rijo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.258,0.122,0.274,0.215,0.283,0.337,0.62,0.274,74,999.0
