Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
1135,Bairon Ledesma,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.23199999999999998,0.053,0.24,0.189,0.231,0.242,0.473,0.213,20,999.0
1136,Moises Paiva,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.272,0.043,0.213,0.158,0.203,0.201,0.404,0.184,13,999.0
1137,Leonardo Rondon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.298,0.054,0.204,0.149,0.194,0.203,0.397,0.181,11,999.0
1138,Duncan Garcia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.376,0.067,0.217,0.143,0.189,0.21,0.398,0.18,10,999.0
1139,Rafael Medina,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.41200000000000003,0.053,0.191,0.119,0.165,0.171,0.337,0.155,-7,999.0
1140,Roberto Martínez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.303,0.065,0.241,0.173,0.217,0.238,0.454,0.204,27,999.0
1141,Dariam Gutierrez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.324,0.061,0.219,0.155,0.199,0.216,0.415,0.187,15,999.0
1142,Justin Rodriguez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.406,0.049,0.22,0.134,0.18,0.183,0.363,0.166,1,999.0
1143,Browm Martinez,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.331,0.055,0.213,0.149,0.194,0.204,0.397,0.181,11,999.0
1144,Endri Garcia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.359,0.064,0.216,0.146,0.191,0.21,0.402,0.182,12,999.0
1145,Wilmeyber Penuela,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.374,0.041,0.207,0.132,0.178,0.173,0.351,0.161,-2,999.0
1146,Moises Semerite,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.436,0.053,0.212,0.124,0.17,0.177,0.347,0.159,-4,999.0
1147,Samuel Parra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.35700000000000004,0.057,0.213,0.143,0.188,0.2,0.388,0.176,8,999.0
1148,Mauricio Pierre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.368,0.063,0.21,0.14,0.186,0.203,0.389,0.176,8,999.0
1149,David Carrera,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.38799999999999996,0.054,0.214,0.136,0.182,0.19,0.372,0.17,3,999.0
1150,Oscar Cedeno,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.317,0.064,0.2,0.145,0.19,0.209,0.4,0.181,11,999.0
1151,Jose Marchan,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.369,0.053,0.204,0.134,0.18,0.187,0.367,0.168,2,999.0
1152,Jose Liriano,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.331,0.07,0.198,0.143,0.188,0.213,0.401,0.18,11,999.0
1153,Luis Paredes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.38799999999999996,0.068,0.209,0.137,0.183,0.206,0.389,0.176,8,999.0
1154,Gustavo Beltran,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.35700000000000004,0.053,0.195,0.131,0.178,0.184,0.362,0.165,0,999.0
1155,Eduardo Montero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.35100000000000003,0.046,0.196,0.131,0.177,0.177,0.354,0.163,-1,999.0
1156,Michael Baez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.377,0.047,0.197,0.126,0.173,0.173,0.346,0.159,-4,999.0
1157,Chad Delancey,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.389,0.05,0.208,0.132,0.178,0.182,0.359,0.165,0,999.0
1158,Osmy Gregorio,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.258,0.063,0.254,0.193,0.235,0.256,0.491,0.22,36,999.0
1159,Vladi Guerrero,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.447,0.045,0.206,0.117,0.164,0.161,0.325,0.15,-6,999.0
1160,Eduardo Tait,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.284,0.101,0.245,0.19,0.232,0.29,0.523,0.231,44,999.0
1161,Luis Pineda,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.321,0.077,0.233,0.167,0.211,0.244,0.456,0.204,27,999.0
1162,Stiven Flores,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.265,0.054,0.217,0.166,0.21,0.22,0.431,0.195,20,999.0
1163,Marcelo Alcala,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0.424,0.063,0.223,0.135,0.181,0.198,0.379,0.172,4,999.0
1164,Samuel Estevez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.44299999999999995,0.045,0.21,0.12,0.167,0.164,0.331,0.153,-8,999.0
1165,P.J. Hilson,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.26,0.116,0.253,0.204,0.246,0.32,0.565,0.247,53,999.0
1166,Blayberg Diaz,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.265,0.058,0.231,0.175,0.219,0.233,0.452,0.204,26,999.0
1167,Maikol Escotto,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.292,0.092,0.25,0.188,0.23,0.28,0.51,0.226,39,999.0
1168,Santiago Ustariz,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.32,0.051,0.192,0.136,0.182,0.187,0.37,0.169,4,999.0
1169,Sebastian Cadiz,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.364,0.054,0.196,0.131,0.177,0.184,0.361,0.165,1,999.0
1170,Engel Paulino,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.379,0.055,0.21,0.136,0.182,0.191,0.372,0.17,4,999.0
1171,Jose Sabino,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.366,0.058,0.203,0.136,0.182,0.194,0.376,0.171,-2,999.0
1172,Adam Crampton,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.262,0.05,0.23,0.172,0.216,0.222,0.438,0.198,26,999.0
1173,Yancel Guerrero,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.40700000000000003,0.057,0.219,0.135,0.182,0.192,0.374,0.17,6,999.0
1174,Yordalin Pena,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.322,0.061,0.219,0.155,0.2,0.216,0.416,0.188,18,999.0
1175,Hector Liriano,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.39299999999999996,0.055,0.218,0.138,0.184,0.193,0.377,0.169,3,999.0
1176,Daniel Campos,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.299,0.059,0.195,0.145,0.19,0.203,0.394,0.179,13,999.0
1177,Abel De Leon,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.429,0.046,0.206,0.121,0.168,0.166,0.335,0.154,-4,999.0
1178,Ludwing Espinoza,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.36200000000000004,0.04,0.209,0.134,0.181,0.175,0.356,0.164,2,999.0
1179,Mikey Romero,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.23800000000000002,0.142,0.29,0.236,0.277,0.378,0.654,0.283,77,999.0
1180,Diego Hernandez,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.24100000000000002,0.102,0.293,0.232,0.272,0.334,0.606,0.266,67,999.0
1181,Gerardo Rodriguez,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.248,0.065,0.218,0.172,0.217,0.237,0.454,0.204,22,999.0
1182,Cole Foster,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.294,0.073,0.245,0.179,0.223,0.252,0.474,0.212,34,999.0
1183,Ilan Fernandez,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.257,0.047,0.214,0.163,0.208,0.21,0.417,0.19,11,999.0
1184,Ramon Landaeta,ATH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.397,0.054,0.204,0.129,0.176,0.182,0.358,0.164,3,999.0
1185,Efren Teran,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.207,0.043,0.199,0.161,0.206,0.205,0.411,0.187,10,999.0
1186,Josnaider Orellana,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.327,0.045,0.211,0.145,0.191,0.19,0.381,0.174,6,999.0
1187,Jorge Ramirez,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.369,0.053,0.207,0.136,0.183,0.189,0.371,0.17,6,999.0
1188,Angel Acosta,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.242,0.05,0.216,0.168,0.212,0.217,0.43,0.195,16,999.0
1189,Jose Fernandez,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.309,0.043,0.2,0.141,0.187,0.184,0.372,0.17,5,999.0
1190,Jose Mena,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.253,0.099,0.262,0.206,0.248,0.305,0.554,0.244,54,999.0
1191,Dae-Ho Lee,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.195,0.121,0.285,0.247,0.286,0.368,0.654,0.284,82,999.0
1192,T.J. Schofield-Sam,ATH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.039,0.22,0.084,0.252,0.205,0.248,0.289,0.537,0.238,55,999.0
1193,Jansel Luis,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.242,0.078,0.268,0.209,0.251,0.287,0.537,0.238,48,999.0
1194,JT Riddle,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.235,0.108,0.256,0.208,0.25,0.316,0.566,0.249,58,999.0
1195,Ryan Leitch,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.326,0.101,0.237,0.174,0.218,0.275,0.493,0.218,37,999.0
1196,Christian Sepulveda,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.287,0.1,0.249,0.19,0.233,0.29,0.523,0.231,46,999.0
1197,Juan Corniel,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.222,0.052,0.249,0.196,0.239,0.248,0.486,0.218,35,999.0
1198,José Estrada,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.28,0.074,0.217,0.165,0.21,0.239,0.449,0.201,25,999.0
1199,Edison Mora,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.297,0.081,0.244,0.18,0.224,0.261,0.485,0.216,35,999.0
1200,Devin Hurdle,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.282,0.063,0.252,0.185,0.229,0.248,0.477,0.214,34,999.0
1201,Rayner Santana,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.363,0.078,0.222,0.151,0.197,0.229,0.426,0.192,18,999.0
1202,Carlos Aguiar,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.33399999999999996,0.12,0.24,0.178,0.222,0.297,0.519,0.228,44,999.0
1203,Alexander Perez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.255,0.065,0.228,0.176,0.22,0.241,0.461,0.207,29,999.0
1204,Jose Urbina,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.042,0.317,0.053,0.213,0.15,0.196,0.204,0.4,0.182,10,999.0
1205,Javier Castillo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.322,0.05,0.198,0.139,0.186,0.189,0.374,0.171,4,999.0
1206,Junior Sanquintin,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.32299999999999995,0.102,0.241,0.177,0.221,0.279,0.5,0.22,38,999.0
1207,Yeral Martinez,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.37,0.09,0.238,0.161,0.206,0.251,0.457,0.204,24,999.0
1208,Ray Garrett,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.315,0.044,0.212,0.148,0.194,0.192,0.385,0.176,8,999.0
1209,Alessander De La Cruz,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.322,0.093,0.242,0.177,0.221,0.27,0.491,0.218,23,999.0
1210,Alonso Gallegos,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.304,0.039,0.221,0.155,0.201,0.194,0.395,0.18,10,999.0
1211,Luis Suarez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.327,0.042,0.21,0.144,0.19,0.185,0.375,0.172,5,999.0
1212,Adrian Rodriguez,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.304,0.041,0.213,0.15,0.196,0.191,0.387,0.177,7,999.0
1213,Ney Serrano,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.332,0.044,0.209,0.142,0.189,0.187,0.375,0.172,5,999.0
1214,Xavier Casserilla,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0.318,0.066,0.237,0.167,0.212,0.234,0.446,0.201,25,999.0
1215,Renair Manrique,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.335,0.04,0.209,0.141,0.187,0.181,0.368,0.169,3,999.0
1216,Ronny Polanco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.305,0.063,0.232,0.167,0.212,0.231,0.442,0.199,24,999.0
1217,Elisandro Alcantara,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.353,0.064,0.226,0.153,0.199,0.217,0.416,0.187,15,999.0
1218,Ramiro Altagracia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.363,0.061,0.222,0.148,0.194,0.209,0.403,0.182,12,999.0
1219,Andres Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.377,0.047,0.199,0.128,0.175,0.175,0.35,0.161,-3,999.0
1220,Andy Encarnacion,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.327,0.055,0.221,0.153,0.199,0.208,0.407,0.185,12,999.0
1221,Ismael Del Rosario,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.45799999999999996,0.047,0.201,0.112,0.16,0.159,0.319,0.148,-8,999.0
1222,Luis Ariza,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.336,0.054,0.205,0.142,0.189,0.197,0.385,0.175,11,999.0
1223,Adan Chacon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.36200000000000004,0.056,0.206,0.138,0.184,0.193,0.378,0.172,5,999.0
1224,Miguel Vargas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.38299999999999995,0.063,0.202,0.133,0.18,0.196,0.375,0.171,4,999.0
1225,Carlos Oviedo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.36700000000000005,0.055,0.198,0.131,0.178,0.186,0.364,0.167,1,999.0
1226,Jesus Peraza,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.354,0.047,0.201,0.134,0.18,0.18,0.361,0.166,1,999.0
1227,Roldy Brito,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.282,0.041,0.229,0.165,0.21,0.207,0.417,0.19,4,999.0
1228,Alex Acosta,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.34700000000000003,0.062,0.204,0.141,0.188,0.203,0.391,0.177,13,999.0
1229,Yensi Reyes,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.35,0.08,0.233,0.161,0.207,0.241,0.448,0.2,12,999.0
1230,Dariel Garcia,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.341,0.058,0.224,0.153,0.199,0.211,0.409,0.186,2,999.0
1231,Jarol Capellan,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0.307,0.06,0.22,0.159,0.204,0.219,0.423,0.191,5,999.0
1232,Casey Saucke,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.293,0.105,0.257,0.196,0.239,0.301,0.54,0.238,51,999.0
1233,Jerffson Pena,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.384,0.064,0.224,0.145,0.191,0.209,0.399,0.179,10,999.0
1234,Rickardo Perez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.29,0.062,0.201,0.151,0.197,0.213,0.411,0.186,14,999.0
1235,Kendrick Hernandez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.456,0.043,0.198,0.111,0.159,0.154,0.313,0.145,-13,999.0
1236,Jadher Areinamo,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.157,0.088,0.27,0.237,0.277,0.325,0.602,0.265,68,999.0
1237,Julian Brock,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.313,0.075,0.242,0.174,0.219,0.249,0.468,0.208,30,999.0
1238,Juan Baez,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.162,0.064,0.244,0.21,0.252,0.274,0.526,0.235,47,999.0
1239,Curley Martha,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.33899999999999997,0.056,0.219,0.15,0.196,0.206,0.403,0.183,12,999.0
1240,Richard Ramirez,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.358,0.065,0.208,0.142,0.188,0.206,0.395,0.179,7,999.0
1241,Jhorvic Abreus,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.287,0.048,0.209,0.153,0.199,0.201,0.4,0.182,13,999.0
1242,Braylin Morel,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.359,0.086,0.233,0.16,0.206,0.246,0.452,0.202,26,999.0
1243,Estuar Suero,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.375,0.058,0.207,0.136,0.183,0.194,0.377,0.172,3,999.0
1244,Aniel Mendoza,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.33899999999999997,0.073,0.205,0.146,0.193,0.219,0.412,0.186,14,999.0
1245,Will Banfield,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.28,0.138,0.274,0.216,0.258,0.354,0.612,0.267,63,999.0
1246,Rafy Peguero,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.424,0.052,0.207,0.124,0.172,0.176,0.348,0.16,-1,999.0
1247,Andy Acevedo,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.38299999999999995,0.052,0.201,0.13,0.177,0.182,0.359,0.165,1,999.0
1248,Omar Urbina,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.295,0.047,0.199,0.145,0.192,0.192,0.384,0.174,9,999.0
1249,Freuddy Batista,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.295,0.1,0.248,0.187,0.231,0.286,0.517,0.229,51,999.0
1250,George Feliz,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.40299999999999997,0.066,0.207,0.132,0.179,0.198,0.377,0.171,11,999.0
1251,Yahil Melendez,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.35700000000000004,0.043,0.21,0.137,0.184,0.18,0.365,0.166,4,999.0
1252,Moises Febrillet,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.435,0.047,0.206,0.12,0.168,0.167,0.334,0.154,-4,999.0
1253,Andruw Salcedo,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.353,0.047,0.192,0.129,0.177,0.176,0.353,0.162,4,999.0
1254,Brandon Winokur,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.31,0.092,0.243,0.179,0.224,0.271,0.495,0.22,39,999.0
1255,Adrián Sugastey,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.20199999999999999,0.102,0.27,0.225,0.266,0.326,0.593,0.26,67,999.0
1256,Enderso Lira,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.275,0.069,0.235,0.177,0.221,0.245,0.466,0.209,25,999.0
1257,Kedaur Trujillo,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.318,0.075,0.204,0.15,0.197,0.225,0.421,0.189,18,999.0
1258,Jhonny Perdomo,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.23,0.057,0.246,0.192,0.236,0.249,0.485,0.216,31,999.0
1259,Ricson Gonzalez,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.28300000000000003,0.048,0.214,0.157,0.203,0.205,0.408,0.186,10,999.0
1260,Juan Mateo,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.23199999999999998,0.046,0.206,0.162,0.208,0.208,0.416,0.189,16,999.0
1261,Oliver Tejada,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.32799999999999996,0.069,0.219,0.156,0.202,0.225,0.427,0.192,21,999.0
1262,Yandel Ricardo,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.278,0.047,0.203,0.15,0.197,0.197,0.394,0.178,5,999.0
1263,Anthony Marquez,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.29,0.042,0.21,0.151,0.198,0.193,0.391,0.179,12,999.0
1264,Omar Mejia,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.34600000000000003,0.04,0.211,0.139,0.187,0.179,0.366,0.168,-2,999.0
1265,Aldo Gaxiola,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.309,0.07,0.208,0.154,0.2,0.224,0.424,0.19,18,999.0
1266,Tanner Murray,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.196,0.113,0.299,0.249,0.29,0.362,0.652,0.285,88,999.0
1267,Juan Guerrero,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.16,0.118,0.305,0.268,0.307,0.385,0.692,0.302,80,999.0
1268,Grant Williams,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.21899999999999997,0.071,0.273,0.217,0.259,0.288,0.548,0.243,54,999.0
1269,Dalvy Rosario,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.048,0.27699999999999997,0.087,0.28,0.208,0.251,0.295,0.546,0.242,50,999.0
1270,Pat DeMarco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.298,0.097,0.253,0.189,0.233,0.286,0.52,0.23,45,999.0
1271,Casey Dana,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.358,0.081,0.235,0.16,0.206,0.241,0.448,0.2,25,999.0
1272,Jordan McCants,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.048,0.295,0.051,0.246,0.175,0.22,0.226,0.446,0.202,23,999.0
1273,Eliezel Stevens,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.29600000000000004,0.075,0.268,0.194,0.238,0.269,0.507,0.226,42,999.0
1274,Gary Mattis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.32,0.1,0.262,0.19,0.234,0.29,0.524,0.231,46,999.0
1275,Alexander Requena,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.34,0.044,0.207,0.139,0.187,0.184,0.37,0.17,1,999.0
1276,Albert Carpio,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0.239,0.038,0.198,0.153,0.199,0.191,0.39,0.179,10,999.0
1277,Riquelmin Cabral,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.309,0.076,0.233,0.169,0.215,0.245,0.46,0.205,28,999.0
1278,Lisandro Mejia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.361,0.04,0.2,0.129,0.177,0.169,0.346,0.16,-3,999.0
1279,Isaac Paulino,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.38799999999999996,0.053,0.204,0.13,0.178,0.183,0.361,0.165,0,999.0
1280,Elias Petiyan,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.348,0.06,0.221,0.15,0.197,0.21,0.407,0.184,13,999.0
1281,Carlos Carmona,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.325,0.06,0.208,0.147,0.194,0.207,0.401,0.182,12,999.0
1282,Felix Taveras,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.381,0.065,0.212,0.139,0.186,0.204,0.39,0.177,8,999.0
1283,Jose Ochoa,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.331,0.049,0.216,0.148,0.195,0.197,0.392,0.177,9,999.0
1284,Randy Perea,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.046,0.408,0.053,0.228,0.139,0.186,0.192,0.378,0.173,5,999.0
1285,Jhoan Contreras,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.34299999999999997,0.062,0.214,0.147,0.194,0.209,0.403,0.183,12,999.0
1286,Jose Sanabria,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.36700000000000005,0.053,0.199,0.132,0.18,0.185,0.364,0.167,1,999.0
1287,Carlos Rodríguez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.33299999999999996,0.051,0.201,0.139,0.186,0.19,0.377,0.172,5,999.0
1288,José Rodríguez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.049,0.182,0.135,0.272,0.241,0.282,0.375,0.657,0.286,82,999.0
1289,Jack López,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.047,0.315,0.107,0.289,0.207,0.25,0.314,0.564,0.248,64,999.0
1290,Ben McCabe,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.040999999999999995,0.336,0.07,0.236,0.163,0.209,0.233,0.441,0.199,10,999.0
1291,Logan Glass,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.044000000000000004,0.39,0.101,0.239,0.16,0.206,0.261,0.467,0.207,29,999.0
1292,Heison Sanchez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.045,0.336,0.044,0.216,0.145,0.192,0.189,0.381,0.175,8,999.0
