Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
3991,Max Gieg,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.81,5.72,1.19,1.46,0.269,1.7,0.297,0.7020000000000001,5.63,5.81,999.0
3992,Kole Ramage,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.98,5.34,1.12,1.3,0.275,1.69,0.3,0.696,5.49,5.64,999.0
3993,Brock Bell,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.56,4.08,1.36,1.77,0.285,1.61,0.296,0.6890000000000001,5.87,5.98,999.0
3994,Wander Arias,WSN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.73,4.91,1.17,1.41,0.271,1.62,0.289,0.6970000000000001,5.43,5.73,999.0
3995,JJ Sanchez,TOR,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.55,6.14,1.07,1.14,0.266,1.73,0.298,0.711,5.22,5.58,999.0
3996,Kelvin Ramirez,LAD,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.38,5.37,1.19,1.45,0.271,1.67,0.295,0.703,5.51,5.77,999.0
3997,Nick Lockhart,TEX,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.9,4.62,1.28,1.5,0.28,1.64,0.299,0.6890000000000001,5.66,5.7,999.0
3998,Brett Standlee,SFG,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.82,4.34,1.34,1.27,0.272,1.57,0.295,0.6970000000000001,5.16,5.28,999.0
3999,Derek Molina,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.14,5.09,1.21,1.39,0.273,1.65,0.296,0.6970000000000001,5.5,5.64,999.0
4000,Davison Palermo,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.65,5.29,1.07,1.47,0.293,1.78,0.314,0.6729999999999999,6.22,5.98,999.0
4001,Alex Martinez,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.54,5.88,1.11,1.38,0.27,1.72,0.298,0.7020000000000001,5.59,5.82,999.0
4002,Ben Simon,NYM,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.46,4.88,1.32,1.41,0.266,1.6,0.291,0.7020000000000001,5.31,5.55,999.0
4003,Devon Roedahl,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.53,5.04,1.1,1.3,0.279,1.68,0.3,0.6940000000000001,5.49,5.65,999.0
4004,Carson Jacobs,CHW,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.13,6.14,1.16,1.48,0.264,1.72,0.293,0.706,5.65,5.9,999.0
4005,Dan Hammer,TBR,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.72,5.55,1.39,1.42,0.258,1.62,0.293,0.708,5.33,5.5,999.0
4006,Graham Osman,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.19,6.17,1.0,1.37,0.278,1.79,0.304,0.701,5.77,5.99,999.0
4007,Cade Denton,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.37,5.02,1.07,1.51,0.297,1.77,0.315,0.6709999999999999,6.26,5.99,999.0
4008,Adam Boucher,TBR,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.64,5.28,1.26,1.34,0.268,1.64,0.297,0.705,5.31,5.51,999.0
4009,Patrick Maybach,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.1,5.56,1.1,1.27,0.272,1.7,0.298,0.705,5.38,5.65,999.0
4010,Tyler Vogel,SFG,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.27,5.11,1.23,1.16,0.268,1.63,0.298,0.7,5.14,5.29,999.0
4011,Ty Madrigal,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.03,5.9,1.02,1.34,0.272,1.73,0.295,0.7090000000000001,5.48,5.91,999.0
4012,Dennis Boatman,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.59,5.94,1.11,1.51,0.275,1.76,0.301,0.6970000000000001,5.87,6.0,999.0
4013,Alan Perdomo,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,4.75,4.97,0.96,1.43,0.302,1.79,0.317,0.67,6.24,5.99,999.0
4014,Ocean Gabonia,NYY,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.94,4.98,1.19,1.48,0.276,1.66,0.296,0.701,5.53,5.77,999.0
4015,Danny Wilkinson,PHI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.86,6.92,1.14,1.38,0.249,1.73,0.285,0.72,5.4,5.87,999.0
4016,Joel Condreay,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.37,5.58,1.14,1.33,0.271,1.69,0.298,0.6990000000000001,5.51,5.67,999.0
4017,A.J. Candelario,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.16,5.46,1.13,1.39,0.269,1.67,0.291,0.7,5.5,5.76,999.0
4018,Nolan Santos,MIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.53,5.34,1.22,1.39,0.269,1.66,0.296,0.6970000000000001,5.54,5.65,999.0
4019,Connor Fenlong,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.51,5.32,1.04,1.26,0.279,1.7,0.3,0.696,5.48,5.67,999.0
4020,Ryan Ammons,NYM,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.31,6.38,1.15,1.22,0.253,1.69,0.289,0.722,5.1,5.57,999.0
4021,Michael Sansone,BOS,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.25,4.38,1.2,1.49,0.284,1.63,0.299,0.682,5.74,5.78,999.0
