Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
1485,Jon Lester,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.12,3.22,1.59,1.48,0.287,1.53,0.301,0.688,5.35,5.35,999.0
1486,Kohl Simas,CHW,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.94,3.93,1.77,1.57,0.267,1.49,0.292,0.703,5.2,5.35,999.0
1487,Aaron Shortridge,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.02,3.28,1.84,1.6,0.275,1.47,0.292,0.6920000000000001,5.29,5.35,999.0
1488,Nic Swanson,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.38,3.87,1.65,1.52,0.267,1.49,0.289,0.6970000000000001,5.2,5.35,999.0
1489,Ky Bush,CHW,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.27,4.17,1.5,1.44,0.27,1.53,0.293,0.71,5.06,5.36,999.0
1490,Owen Wild,TBR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.69,3.58,1.87,1.63,0.269,1.47,0.291,0.6970000000000001,5.27,5.36,999.0
1491,Zach Plesac,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.31,2.8,1.9,1.62,0.281,1.45,0.293,0.696,5.22,5.36,999.0
1492,Zach Thornton,NYM,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.25,4.01,1.31,1.3,0.276,1.55,0.294,0.703,5.05,5.36,999.0
1493,Jay Groome,SDP,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.75,4.49,1.5,1.43,0.261,1.52,0.287,0.713,5.0,5.37,999.0
1494,Adam Leverett,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.5,3.14,1.75,1.54,0.275,1.45,0.288,0.695,5.13,5.37,999.0
1495,Victor Munoz,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.72,3.29,1.74,1.54,0.277,1.48,0.293,0.6890000000000001,5.28,5.37,999.0
1496,Joe Elbis,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.49,3.69,1.49,1.41,0.282,1.55,0.3,0.68,5.43,5.37,999.0
1497,Baron Stuart,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.73,3.73,1.54,1.45,0.276,1.52,0.294,0.7,5.15,5.37,999.0
1498,Juan Carela,CHW,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.88,4.01,1.72,1.5,0.265,1.49,0.292,0.698,5.17,5.37,999.0
1499,Braeden Fausnaught,PHI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.0,3.8,1.58,1.49,0.27,1.49,0.288,0.706,5.07,5.37,999.0
1500,Ryan Ramsey,KCR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.18,4.35,1.42,1.36,0.27,1.55,0.293,0.696,5.23,5.37,999.0
1501,Alec Gamboa,LAD,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.87,4.13,1.42,1.4,0.275,1.55,0.296,0.708,5.09,5.37,999.0
1502,Emmett Olson,MIA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.41,4.15,1.3,1.31,0.28,1.58,0.299,0.6940000000000001,5.25,5.37,999.0
1503,Brandon Schaeffer,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.49,3.82,1.44,1.36,0.272,1.51,0.29,0.703,5.01,5.37,999.0
1504,Michael Baird,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.78,2.88,2.35,1.82,0.28,1.46,0.302,0.68,5.62,5.38,999.0
1505,Jose Gonzalez,TEX,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.66,3.73,1.79,1.59,0.27,1.5,0.293,0.696,5.31,5.38,999.0
1506,Williander Moreno,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.33,3.0,1.78,1.56,0.282,1.48,0.295,0.6859999999999999,5.32,5.38,999.0
1507,Cody Deason,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.32,3.72,1.7,1.55,0.273,1.51,0.294,0.6920000000000001,5.35,5.38,999.0
1508,Jesus Gonzalez,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.23,4.27,1.22,1.25,0.28,1.6,0.3,0.698,5.17,5.38,999.0
1509,Jaxon Wiggins,CHC,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.25,4.73,1.32,1.32,0.271,1.6,0.297,0.6970000000000001,5.26,5.38,999.0
1510,Ryne Moore,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.07,3.83,1.32,1.31,0.284,1.57,0.301,0.685,5.32,5.39,999.0
1511,Hunter Patteson,KCR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.37,3.68,1.46,1.43,0.282,1.55,0.298,0.688,5.37,5.39,999.0
1512,Jaime Arias,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.02,3.57,1.68,1.56,0.268,1.47,0.285,0.705,5.11,5.39,999.0
1513,Carlos Marcano,DET,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.85,3.82,1.27,1.31,0.279,1.55,0.293,0.6890000000000001,5.2,5.39,999.0
1514,Wade LeBlanc,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.4,2.99,1.81,1.58,0.28,1.47,0.293,0.693,5.26,5.39,999.0
1515,Ricardo Yan,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.29,5.14,1.22,1.19,0.275,1.66,0.305,0.6859999999999999,5.43,5.4,999.0
1516,Orlando Ortiz-Mayr,MIA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.33,3.79,1.41,1.37,0.282,1.55,0.299,0.684,5.34,5.4,999.0
1517,Colin Fields,DET,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.91,3.79,1.56,1.46,0.269,1.49,0.287,0.691,5.21,5.4,999.0
1518,Garrison Bryant,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.81,3.19,1.82,1.61,0.276,1.47,0.291,0.69,5.31,5.4,999.0
1519,Konnor Ash,PHI,0,0,1.0,0,0,0,0,0,1,1,0,1,1,7.11,4.67,1.52,1.49,0.261,1.54,0.289,0.7070000000000001,5.19,5.4,999.0
1520,Jackson Wolf,SDP,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.23,3.85,1.62,1.53,0.265,1.48,0.284,0.71,5.04,5.4,999.0
1521,Tommy Romero,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.62,4.09,1.62,1.54,0.267,1.52,0.29,0.7,5.27,5.41,999.0
1522,Cole Percival,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.13,4.03,1.52,1.45,0.272,1.53,0.293,0.7020000000000001,5.17,5.41,999.0
1523,Jackson Nezuh,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.58,4.32,1.52,1.48,0.267,1.53,0.291,0.696,5.28,5.41,999.0
1524,Josh Hendrickson,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.93,3.55,1.67,1.53,0.271,1.48,0.288,0.6990000000000001,5.17,5.41,999.0
1525,Alessandro Ercolani,PIT,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.2,4.52,1.37,1.38,0.272,1.59,0.296,0.6920000000000001,5.38,5.41,999.0
1526,Manuel Mercedes,SFG,0,0,1.0,0,0,0,0,0,1,1,0,0,1,4.47,4.61,0.97,1.07,0.289,1.68,0.306,0.6859999999999999,5.32,5.41,999.0
1527,Bailey Dees,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.72,3.76,1.79,1.62,0.264,1.47,0.285,0.7070000000000001,5.14,5.41,999.0
1528,Brycen Mautz,STL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.64,4.25,1.33,1.33,0.273,1.56,0.293,0.701,5.14,5.42,999.0
1529,Joseph Montalvo,DET,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.19,3.91,1.58,1.51,0.266,1.49,0.284,0.695,5.23,5.42,999.0
1530,Andrew Taylor,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.68,4.56,1.47,1.45,0.269,1.57,0.296,0.695,5.36,5.42,999.0
1531,Ryley Widell,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.02,4.06,1.48,1.46,0.274,1.55,0.295,0.698,5.29,5.42,999.0
1532,Manuel Urias,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.92,3.74,1.58,1.52,0.275,1.52,0.294,0.69,5.35,5.43,999.0
1533,Norwith Gudiño,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.11,3.8,1.61,1.54,0.279,1.54,0.3,0.6809999999999999,5.56,5.43,999.0
1534,Shaddon Peavyhouse,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.34,4.23,1.26,1.29,0.276,1.57,0.294,0.6970000000000001,5.13,5.43,999.0
1535,Blake Burkhalter,ATL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.83,3.62,1.61,1.54,0.28,1.53,0.298,0.687,5.44,5.43,999.0
1536,Ben Brecht,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.84,3.66,1.59,1.53,0.276,1.52,0.293,0.6970000000000001,5.29,5.43,999.0
1537,Chandler Murphy,TBR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.73,3.71,1.54,1.49,0.28,1.54,0.298,0.69,5.36,5.43,999.0
1538,Mitch Myers,ATH,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.83,2.89,1.67,1.54,0.284,1.47,0.293,0.687,5.26,5.43,999.0
1539,Brett Conine,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.03,3.52,1.71,1.57,0.277,1.51,0.295,0.6859999999999999,5.43,5.44,999.0
1540,Jerad Eickhoff,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.53,2.9,1.9,1.63,0.281,1.46,0.294,0.684,5.38,5.44,999.0
1541,Hunter Riggins,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.33,4.47,1.19,1.27,0.287,1.66,0.308,0.687,5.48,5.44,999.0
1542,Daniel Nunez,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.59,4.19,1.34,1.37,0.283,1.6,0.303,0.6809999999999999,5.54,5.44,999.0
1543,Joe Miller,DET,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.91,3.62,1.36,1.39,0.278,1.52,0.29,0.6940000000000001,5.18,5.44,999.0
1544,Ryan Hawks,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.07,3.4,1.49,1.46,0.279,1.5,0.291,0.693,5.2,5.44,999.0
1545,Jairo Solis,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.37,3.45,1.84,1.67,0.272,1.47,0.29,0.6890000000000001,5.4,5.45,999.0
1546,Chen-Wei Lin,STL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.39,4.31,1.25,1.31,0.277,1.58,0.295,0.6940000000000001,5.25,5.45,999.0
1547,Chad Donato,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.79,3.54,1.64,1.57,0.276,1.5,0.292,0.69,5.37,5.46,999.0
1548,Ben Braymer,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.59,3.71,1.51,1.49,0.273,1.5,0.288,0.7020000000000001,5.16,5.46,999.0
1549,Justin Bullock,MIL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.07,3.12,1.94,1.72,0.275,1.46,0.29,0.6940000000000001,5.35,5.46,999.0
1550,Brian Fitzpatrick,MIL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.31,4.4,1.44,1.45,0.269,1.56,0.292,0.7070000000000001,5.21,5.47,999.0
1551,Chris Ellis,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.96,3.91,1.53,1.51,0.275,1.54,0.294,0.6890000000000001,5.41,5.47,999.0
1552,Trent Baker,MIN,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.09,3.67,1.66,1.59,0.273,1.51,0.291,0.69,5.4,5.47,999.0
1553,Mike Ruff,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.03,3.62,1.67,1.55,0.273,1.5,0.292,0.687,5.37,5.47,999.0
1554,Cory Wall,ATL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.09,4.01,1.52,1.51,0.277,1.56,0.298,0.69,5.46,5.47,999.0
1555,Dalton Rogers,BOS,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.51,5.45,1.19,1.25,0.273,1.68,0.304,0.6970000000000001,5.43,5.47,999.0
1556,Cale Lansville,SFG,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.95,4.02,1.23,1.33,0.284,1.6,0.299,0.682,5.44,5.47,999.0
1557,Jose Salvador,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.92,4.07,1.46,1.48,0.273,1.54,0.292,0.7,5.27,5.47,999.0
1558,Austin Troesser,NYM,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.42,4.55,1.41,1.45,0.269,1.58,0.293,0.698,5.34,5.48,999.0
1559,Didier Fuentes,ATL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.35,4.27,1.49,1.5,0.275,1.58,0.298,0.69,5.5,5.48,999.0
1560,Mark Manfredi,MIL,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.88,5.13,1.34,1.36,0.264,1.61,0.294,0.7090000000000001,5.21,5.48,999.0
1561,Felix Arronde,KCR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.08,4.34,1.17,1.27,0.286,1.64,0.304,0.679,5.54,5.48,999.0
1562,T.J. Zeuch,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.14,3.22,1.6,1.55,0.292,1.55,0.305,0.684,5.49,5.48,999.0
1563,Mitch Neunborn,PHI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.81,3.91,1.74,1.66,0.264,1.48,0.285,0.701,5.28,5.48,999.0
1564,Jordan Fowler,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.88,3.77,1.29,1.4,0.284,1.57,0.297,0.6940000000000001,5.3,5.49,999.0
1565,Ryan Garcia,TEX,0,0,1.0,0,0,0,0,0,1,1,0,1,0,7.11,4.11,1.73,1.65,0.263,1.5,0.287,0.7,5.36,5.49,999.0
1566,Reid Johnston,CLE,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.94,4.01,1.48,1.48,0.276,1.55,0.296,0.688,5.43,5.49,999.0
1567,Grant Kipp,CHC,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.68,4.22,1.34,1.4,0.278,1.58,0.298,0.6890000000000001,5.41,5.49,999.0
1568,Justin Nicolino,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.85,2.94,1.99,1.75,0.282,1.48,0.296,0.696,5.4,5.49,999.0
1569,Jackson Baumeister,TBR,0,0,1.0,0,0,0,0,0,1,1,0,1,1,7.1,4.78,1.49,1.5,0.265,1.58,0.294,0.6990000000000001,5.39,5.5,999.0
1570,Calvin Ziegler,NYM,0,0,1.0,0,0,0,0,0,1,1,0,1,1,7.23,5.04,1.43,1.47,0.259,1.58,0.288,0.7040000000000001,5.31,5.5,999.0
1571,Matthew Thompson,,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.84,5.02,1.36,1.4,0.263,1.6,0.292,0.6990000000000001,5.33,5.5,999.0
1572,Braxton Bragg,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.84,3.83,1.52,1.53,0.279,1.55,0.297,0.691,5.41,5.5,999.0
1573,Levi Stoudt,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.07,3.62,1.68,1.62,0.273,1.5,0.29,0.696,5.33,5.5,999.0
1574,Jose Cabrera,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.12,4.07,1.26,1.35,0.287,1.61,0.303,0.677,5.58,5.5,999.0
1575,Jamison Hill,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.87,4.14,1.42,1.45,0.277,1.57,0.297,0.682,5.54,5.5,999.0
1576,Michael Cuevas,WSN,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.18,4.03,1.29,1.36,0.278,1.56,0.293,0.69,5.27,5.5,999.0
1577,Eric Yost,SDP,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.03,3.99,1.26,1.37,0.283,1.58,0.297,0.691,5.31,5.5,999.0
1578,Gabriel Barbosa,PHI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.9,3.73,1.31,1.41,0.283,1.55,0.296,0.6890000000000001,5.3,5.5,999.0
1579,Tommy Mace,CLE,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.39,3.41,1.58,1.55,0.281,1.52,0.295,0.684,5.45,5.51,999.0
1580,Chris McMahon,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.02,2.98,2.02,1.77,0.29,1.52,0.307,0.6709999999999999,5.81,5.51,999.0
1581,Levi Wells,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.95,4.4,1.35,1.42,0.278,1.6,0.3,0.693,5.43,5.51,999.0
1582,Daniel Federman,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.8,3.63,1.6,1.58,0.278,1.52,0.295,0.6920000000000001,5.4,5.51,999.0
1583,Tommy Vail,CHW,0,0,1.0,0,0,0,0,0,1,1,0,1,1,7.18,5.19,1.38,1.45,0.26,1.6,0.29,0.7170000000000001,5.17,5.51,999.0
1584,Ricky Castro,MIN,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.09,4.01,1.52,1.55,0.278,1.57,0.298,0.6859999999999999,5.57,5.51,999.0
1585,Connor Van Scoyoc,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.98,3.51,1.42,1.47,0.298,1.61,0.313,0.669,5.78,5.52,999.0
1586,Fernando Perez,TOR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.56,3.92,1.42,1.47,0.28,1.56,0.296,0.685,5.47,5.52,999.0
1587,Jack Mahoney,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.16,3.58,1.44,1.5,0.298,1.61,0.314,0.67,5.81,5.52,999.0
1588,Wilkin Paredes,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,0,4.69,4.09,1.15,1.31,0.291,1.63,0.305,0.6829999999999999,5.53,5.52,999.0
1589,Drew Parrish,CIN,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.26,3.24,1.93,1.76,0.273,1.46,0.289,0.7040000000000001,5.29,5.52,999.0
1590,Adrian Chaidez,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,7.06,4.37,1.62,1.59,0.263,1.52,0.288,0.695,5.41,5.52,999.0
1591,Brody Hopkins,TBR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.08,4.49,1.35,1.4,0.276,1.6,0.299,0.69,5.42,5.53,999.0
1592,Spencer Bengard,MIN,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.47,3.72,1.47,1.53,0.281,1.55,0.296,0.6859999999999999,5.48,5.53,999.0
1593,Matt Walker,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.11,4.45,1.15,1.31,0.282,1.63,0.299,0.696,5.34,5.53,999.0
1594,Cody Mincey,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.61,2.93,1.92,1.71,0.281,1.47,0.293,0.6809999999999999,5.52,5.53,999.0
1595,Christian Young,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.68,3.64,1.56,1.58,0.279,1.53,0.294,0.688,5.47,5.53,999.0
1596,Tyler Uberstine,BOS,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.6,4.16,1.35,1.45,0.286,1.62,0.306,0.675,5.73,5.53,999.0
1597,Alex Santos II,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.54,4.61,1.42,1.49,0.27,1.58,0.294,0.6920000000000001,5.46,5.54,999.0
1598,Aaron Davenport,CLE,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.51,3.96,1.65,1.63,0.269,1.52,0.289,0.6920000000000001,5.45,5.54,999.0
1599,Izack Tiger,TEX,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.42,4.48,1.43,1.5,0.275,1.6,0.299,0.6920000000000001,5.52,5.54,999.0
1600,Elmer Rodriguez-Cruz,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.09,4.7,1.3,1.4,0.273,1.61,0.296,0.7020000000000001,5.32,5.54,999.0
1601,Cullen Kafka,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.12,4.34,1.18,1.33,0.284,1.62,0.3,0.6890000000000001,5.44,5.54,999.0
1602,Edgar Barclay,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.26,3.9,1.61,1.61,0.27,1.51,0.288,0.708,5.25,5.54,999.0
1603,Alex Cook,TBR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.11,4.28,1.43,1.51,0.276,1.58,0.297,0.693,5.47,5.54,999.0
1604,Marcelo Perez,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.27,3.28,1.61,1.6,0.278,1.49,0.288,0.6920000000000001,5.31,5.55,999.0
1605,Michael Prosecky,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.36,4.35,1.46,1.51,0.284,1.62,0.309,0.6829999999999999,5.71,5.55,999.0
1606,Hayden Wynja,SFG,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.87,4.1,1.43,1.5,0.269,1.54,0.286,0.695,5.35,5.55,999.0
1607,Jimmy Endersby,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.09,3.9,1.56,1.59,0.273,1.53,0.29,0.691,5.44,5.55,999.0
1608,M.D. Johnson,MIA,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.6,3.55,1.58,1.57,0.278,1.51,0.292,0.6829999999999999,5.47,5.55,999.0
1609,Elijah Dale,SEA,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.3,4.73,1.12,1.24,0.276,1.63,0.296,0.696,5.24,5.55,999.0
1610,Zach Messinger,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.46,3.76,1.72,1.67,0.269,1.5,0.288,0.7,5.34,5.56,999.0
1611,Bryan Garcia,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.96,4.06,1.47,1.53,0.276,1.56,0.295,0.687,5.52,5.56,999.0
1612,Edinson Batista,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.61,4.68,1.2,1.3,0.278,1.63,0.3,0.6859999999999999,5.45,5.56,999.0
1613,Brendan Beck,NYY,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.21,3.7,1.68,1.67,0.275,1.52,0.293,0.6970000000000001,5.44,5.57,999.0
1614,Jace Kaminska,COL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.61,3.61,1.55,1.6,0.294,1.6,0.312,0.67,5.89,5.57,999.0
1615,Michael Forret,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.33,4.55,1.39,1.48,0.274,1.6,0.297,0.693,5.48,5.57,999.0
1616,Cameron Wagoner,MIL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.46,3.9,1.4,1.49,0.28,1.56,0.296,0.688,5.45,5.58,999.0
1617,Alfredi Jimenez,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.6,3.94,1.42,1.53,0.281,1.57,0.297,0.6859999999999999,5.56,5.58,999.0
1618,Douglas Orellana,NYM,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.75,4.96,1.36,1.47,0.261,1.58,0.286,0.703,5.33,5.58,999.0
1619,Caden Grice,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.06,5.42,1.12,1.24,0.277,1.7,0.304,0.6920000000000001,5.54,5.58,999.0
1620,Ixan Henderson,STL,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.48,4.55,1.2,1.37,0.274,1.6,0.292,0.7,5.29,5.58,999.0
1621,Inohan Paniagua,STL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.7,4.39,1.3,1.38,0.274,1.58,0.294,0.688,5.4,5.59,999.0
1622,Sam Whiting,SDP,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.12,4.13,1.48,1.56,0.27,1.53,0.289,0.696,5.36,5.59,999.0
1623,Luis Morales,ATH,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.82,4.49,1.3,1.45,0.274,1.59,0.293,0.695,5.4,5.59,999.0
1624,Henry Williams,KCR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.19,4.43,1.17,1.34,0.285,1.64,0.303,0.6779999999999999,5.66,5.59,999.0
1625,Leandro Lopez,,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.8,5.37,1.27,1.39,0.269,1.66,0.298,0.6990000000000001,5.48,5.59,999.0
1626,Jose Atencio,WSN,0,0,1.0,0,0,0,0,0,1,1,0,0,0,4.44,3.5,1.27,1.46,0.285,1.54,0.292,0.6859999999999999,5.35,5.59,999.0
1627,Nick Dean,CHC,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.49,3.83,1.43,1.56,0.28,1.55,0.294,0.687,5.51,5.6,999.0
1628,Hayden Minton,DET,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.63,4.68,1.2,1.35,0.274,1.62,0.293,0.688,5.46,5.6,999.0
1629,William Fleming,KCR,0,0,1.0,0,0,0,0,0,1,1,0,0,0,4.43,3.41,1.3,1.47,0.291,1.57,0.299,0.6709999999999999,5.64,5.6,999.0
1630,Luis Vargas,ATL,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.06,4.35,1.39,1.52,0.278,1.6,0.298,0.687,5.61,5.6,999.0
1631,Keythel Key,LAA,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.76,4.98,1.36,1.47,0.269,1.62,0.296,0.698,5.47,5.61,999.0
1632,Juaron Watts-Brown,TOR,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.6,4.94,1.34,1.48,0.268,1.62,0.293,0.695,5.52,5.61,999.0
1633,Peyton Battenfield,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.21,3.11,1.68,1.7,0.283,1.5,0.291,0.6859999999999999,5.53,5.61,999.0
1634,Devereaux Harrison,TOR,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.92,3.63,1.63,1.69,0.272,1.5,0.285,0.693,5.45,5.61,999.0
1635,Carlos Tavera,BAL,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.83,4.61,1.48,1.61,0.265,1.56,0.288,0.703,5.42,5.62,999.0
1636,Jose Corniell,TEX,0,0,1.0,0,0,0,0,0,1,1,0,1,0,6.33,4.28,1.48,1.57,0.274,1.58,0.295,0.69,5.56,5.62,999.0
1637,Jacob Steinmetz,ARI,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.33,4.61,1.16,1.34,0.284,1.66,0.303,0.677,5.7,5.63,999.0
1638,Heitor Tokar,,0,0,1.0,0,0,0,0,0,1,1,0,1,0,5.2,4.23,1.23,1.44,0.286,1.62,0.301,0.682,5.62,5.63,999.0
1639,Gerelmi Maldonado,SFG,0,0,1.0,0,0,0,0,0,1,1,0,1,1,5.94,5.14,1.16,1.32,0.274,1.67,0.297,0.688,5.57,5.63,999.0
1640,Nolan DeVos,HOU,0,0,1.0,0,0,0,0,0,1,1,0,1,1,6.34,4.75,1.34,1.5,0.272,1.61,0.295,0.691,5.56,5.63,999.0
